"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"GBR","United Kingdom","T","Total","TOTAL","Total","1980","1980",56329673,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1981","1981",56357464,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1982","1982",56290711,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1983","1983",56315677,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1984","1984",56409327,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1985","1985",56553955,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1986","1986",56683835,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1987","1987",56803958,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1988","1988",56916448,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1989","1989",57076451,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1990","1990",57237493,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1991","1991",57438658,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1992","1992",57584530,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1993","1993",57713889,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1994","1994",57862145,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1995","1995",58024799,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1996","1996",58164374,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1997","1997",58314249,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1998","1998",58474943,,
"GBR","United Kingdom","T","Total","TOTAL","Total","1999","1999",58684427,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2000","2000",58886065,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2001","2001",59113016,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2002","2002",59365677,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2003","2003",59636662,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2004","2004",59950364,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2005","2005",60413276,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2006","2006",60827067,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2007","2007",61319075,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2008","2008",61823772,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2009","2009",62260486,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2010","2010",62759456,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2011","2011",63285145,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2012","2012",63705030,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2013","2013",64105654,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2014","2014",64596752,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2015","2015",65110034,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2016","2016",65648054,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2017","2017",66040229,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2018","2018",66435550,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2019","2019",66796807,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2020","2020",67081234,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2021","2021",67026292,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2022","2022",67299048,,
